#Sigma LOS Maj (r, sig, dsig, gauss, sech, poly)
-95.9  103.8  14.8  74.948462852  75.8140140678  64.9031105863
-72.0  105.8  8.6  86.1564402535  89.22494514  64.8799488313
-62.6  114.2  6.2  92.4407726576  96.0697725984  64.8579319625
-55.1  134.8  5.7  98.0456483602  101.703179122  64.8370530753
-49.7  111.1  5.0  102.23981985  105.636080971  64.8173042055
-46.0  107.5  5.3  105.1013163  108.183552357  64.7986763811
-42.8  112.0  4.5  107.514640736  110.24644402  64.7811596705
-39.6  114.4  4.4  109.825421351  112.146544439  64.7647432366
-36.9  93.3  4.2  111.661665692  113.601292426  64.749415378
-34.8  104.0  4.1  112.998925118  114.627430946  64.7351635849
-32.6  107.1  3.7  114.298947879  115.594958828  64.7219745727
-30.5  99.9  3.3  115.43037345  116.409077432  64.7098343438
-28.4  97.8  3.1  116.442630367  117.110335956  64.6987282152
-26.8  106.2  4.0  117.126983123  117.565687895  64.6886408702
-25.7  94.1  4.2  117.551249813  117.837986271  64.6795564006
-24.6  96.8  4.2  117.936301726  118.076431878  64.6714583418
-23.6  89.8  4.4  118.25128659  118.263414868  64.6643297206
-22.5  116.7  4.3  118.558170763  118.435943568  64.6581530831
-21.4  112.5  4.1  118.822608057  118.573400535  64.6529105433
-20.3  116.1  4.0  119.043734199  118.675504219  64.6485838142
-19.3  123.9  3.6  119.206558914  118.737469637  64.6451542426
-18.2  115.4  3.6  119.343098667  118.771560304  64.6426028488
-17.1  107.9  3.4  119.434607336  118.769890924  64.6409103562
-16.1  113.3  3.3  119.478460982  118.737343342  64.640057225
-15.0  120.9  3.1  119.483281251  118.667476137  64.6400236863
-13.9  120.5  3.1  119.442602953  118.562062669  64.640789773
-12.9  125.7  2.9  119.366251865  118.435566875  64.6423353478
-11.8  120.8  2.8  119.239216959  118.262953391  64.6446401345
-10.7  116.0  2.6  119.067496231  118.055621799  64.6476837465
-9.6  119.6  2.5  118.851658234  117.813994879  64.6514457142
-8.6  121.2  2.3  118.617753746  117.564985735  64.6559055145
-7.5  128.8  2.2  118.319781228  117.259306364  64.6610425908
-6.4  132.5  2.0  117.980135459  116.920944791  64.6668363846
-5.4  130.4  1.7  117.636121448  116.585554021  64.6732663565
-4.3  134.4  1.6  117.220052785  116.186739319  64.6803120141
-3.2  136.4  1.5  116.765812071  115.757388016  64.6879529278
-2.1  135.0  1.3  116.27481301  115.298350137  64.6961687612
-1.1  129.3  1.1  115.797818748  114.856040873  64.7049392864
0.0  122.5  1.1  115.240899227  114.342878696  64.7142444078
1.1  125.4  1.0  114.651828454  113.8027938  64.7240641844
2.1  127.2  1.2  114.089858026  113.289319385  64.7343788426
3.2  130.2  1.2  113.444236662  112.700759555  64.7451687994
4.3  132.9  1.5  112.771617704  112.088413498  64.7564146834
5.4  127.0  1.5  112.073854148  111.453430457  64.7680973442
6.4  120.5  1.6  111.419284138  110.857521731  64.7801978757
7.5  120.4  1.8  110.678746283  110.182621522  64.7926976303
8.6  115.2  2.0  109.918563263  109.488588176  64.8055782326
9.6  103.7  2.1  109.212037425  108.842095392  64.8188215981
10.7  102.8  2.2  108.419610971  108.115014106  64.8324099406
11.8  106.5  2.4  107.613023439  107.372471779  64.8463257937
12.9  101.2  2.7  106.794119087  106.615753121  64.8605520179
13.9  100.5  2.9  106.040497227  105.9166109  64.8750718179
15.0  100.8  3.2  105.203075089  105.136412646  64.8898687489
16.1  101.9  3.2  104.358489851  104.345793544  64.9049267324
17.1  106.2  3.4  103.58588364  103.619088179  64.9202300643
18.2  115.2  3.6  102.732241181  102.812138529  64.9357634258
19.3  90.7  3.3  101.876164721  101.998483129  64.9515118961
20.3  100.3  3.4  101.097070982  101.254031982  64.9674609532
21.4  89.6  3.5  100.240478383  100.431039237  64.9835964945
22.5  83.0  3.4  99.3856519805  99.6049346109  64.9999048325
23.6  86.5  3.7  98.5339010614  98.7769121511  65.0163727129
24.6  72.2  3.6  97.7632937156  98.0234839359  65.0329873134
25.7  87.7  4.1  96.9207900315  97.1950210146  65.049736258
27.3  84.8  3.3  95.7071675416  95.9927783781  65.0666076154
29.4  70.8  3.3  94.1402152915  94.4248314955  65.0835899112
31.6  78.5  3.5  92.5363506424  92.8014287545  65.10067213
33.7  81.6  3.6  91.0468120529  91.2769283202  65.1178437208
35.9  72.3  4.0  89.534508305  89.7127276495  65.1350946014
38.0  82.0  4.2  88.1405100962  88.2566063293  65.1524151627
40.7  101.5  4.4  86.4236235091  86.4452333862  65.1697962729
43.9  79.6  4.3  84.5034178449  84.3978193362  65.1872292776
47.6  86.9  4.7  82.4421949736  82.1788346905  65.2047060084
51.9  96.9  5.2  80.2614803397  79.8151325795  65.2222187796
57.6  104.4  6.3  77.7166279868  77.0539646845  65.2397603917
66.5  73.9  6.8  74.4697892289  73.5854578881  65.257324136
73.9  84.2  7.5  72.358156665  71.4253434797  65.2749037937
83.6  65.8  9.8  70.2484359732  69.4306430951  65.2924936346
102.4  75.3  15.6  67.6880708348  67.4542817063  65.3100884227
